NG_NumOfSpecies,NG_NumOfReactions,NG_Species_X_Reactions,NG_UpdatesMIN,NG_UpdatesMEAN,NG_UpdatesMAX,NG_UpdatesSUM,NG_StoichiometricUpdatesMIN,NG_StoichiometricUpdatesMEAN,NG_StoichiometricUpdatesMAX,NG_StoichiometricUpdatesSUM,ModelChecker
37,45,1665,2,2.4,3,108,2,2.4,3,108,PLASMA
47,43,2021,2,2.302325581,3,99,2,2.302325581,3,99,PLASMA
18,58,1044,2,2,2,116,2,2,2,116,PLASMA
39,47,1833,2,3,7,141,2,3,7,141,PLASMA
44,45,1980,2,3,5,135,2,3,5,135,PLASMA
47,51,2397,2,2.078431373,3,106,2,2.078431373,3,106,PLASMA
38,45,1710,3,3.333333333,4,150,3,3.333333333,4,150,PLASMA
50,52,2600,2,2.230769231,3,116,2,2.230769231,3,116,PLASMA
54,45,2430,2,2.977777778,4,134,2,2.977777778,4,134,PLASMA
37,45,1665,2,2.777777778,5,125,2,2.777777778,5,125,PLASMA
50,54,2700,2,2,2,108,2,2,2,108,PLASMA
46,57,2622,2,2.035087719,3,116,2,2.035087719,3,116,PLASMA
38,46,1748,2,2.760869565,5,127,2,2.760869565,5,127,PLASMA
55,45,2475,2,2.222222222,3,100,2,2.222222222,3,100,PLASMA
55,43,2365,2,4.255813953,8,183,2,4.255813953,8,183,PLASMA
37,51,1887,2,2.411764706,3,123,2,2.411764706,3,123,PLASMA
62,45,2790,2,3.666666667,6,165,2,3.666666667,6,165,PLASMA
33,64,2112,2,2.078125,3,133,2,2.078125,3,133,PLASMA
46,57,2622,2,2.035087719,3,116,2,2.035087719,3,116,PLASMA
62,56,3472,2,2.339285714,4,131,2,2.339285714,4,131,PLASMA
61,53,3233,2,3,5,159,2,3,5,159,PLASMA
26,64,1664,2,2.578125,3,165,2,2.578125,3,165,PLASMA
50,53,2650,2,3.943396226,22,209,2,3.943396226,22,209,PLASMA
56,58,3248,2,2.413793103,3,140,2,2.413793103,3,140,PLASMA
47,56,2632,2,3.107142857,5,174,2,3.107142857,5,174,PLASMA
56,61,3416,2,2.590163934,4,158,2,2.590163934,4,158,PLASMA
39,70,2730,2,2.471428571,3,173,2,2.471428571,3,173,PLASMA
27,72,1944,2,2.972222222,5,214,2,2.972222222,5,214,PLASMA
72,72,5184,2,2.791666667,5,201,2,2.791666667,5,201,PLASMA
73,66,4818,2,2.96969697,3,196,2,2.96969697,3,196,PLASMA
